approach,mean_f1,mean_mcc,mean_pr_auc,mean_precision,mean_recall,mean_roc_auc,metrics,name,std_f1,std_mcc,std_pr_auc,std_precision,std_recall,std_roc_auc
RF,0.83777777777,0.77089291836,0.90541666666,0.86166666667,0.88666666667,0.94208333334,ico-delta,dj-wasabi/ansible-zabbix-proxy,0.159612714012317,0.202306751450646,0.093604310669507,0.206087899258491,0.20620019039004,0.067198400274858
RF,0.87626984127,0.82172555926,0.91791666666,0.87166666667,0.92666666667,0.96354166667,ico,dj-wasabi/ansible-zabbix-proxy,0.121688779535158,0.167370346808276,0.084984793488288,0.182244239858066,0.155396744323111,0.061184063145448
RF,0.50327228327,0.07310801921,0.66696428572,0.42202380953,0.65833333334,0.55625,process,dj-wasabi/ansible-zabbix-proxy,0.236289376958911,0.326626406777254,0.143478929570621,0.21557610447274,0.320228506380817,0.212016061146931
RF,0.50885669884,0.11933276642,0.59928571429,0.4175,0.69000000001,0.44541666668,delta,dj-wasabi/ansible-zabbix-proxy,0.218460270605849,0.224996983081669,0.234671615658374,0.179587979560774,0.330375768099946,0.2440056826222
RF,0.83460317459,0.76843325144,0.89666666666,0.83666666667,0.90666666667,0.94208333334,ico-process,dj-wasabi/ansible-zabbix-proxy,0.158796811412295,0.2024062174595,0.091746598149906,0.202576003109395,0.206559111793426,0.067198400274858
RF,0.55131701631,0.16080738424,0.6855357143,0.5225,0.72,0.58999999999,delta-process,dj-wasabi/ansible-zabbix-proxy,0.169740326383659,0.325107011726507,0.123908706321512,0.202968684400243,0.327806025155724,0.201146405725737
RF,0.92254662005,0.9132138347675,0.9429573253825,0.9193452380925,0.9545833333325,0.993863486015,ico-delta,ansistrano/deploy,0.128293339836622,0.128027757835947,0.0777960611247,0.124656849182544,0.147437151611868,0.023095387996636
RF,0.9251241813775,0.9153684921575,0.9433045476075,0.9176785714225,0.9583333333325,0.99368159747,ico,ansistrano/deploy,0.121606977466858,0.119075143223432,0.072419336280815,0.114186321634611,0.139902285802853,0.027442874205671
RF,0.065416666665,0.044206525635,0.52668087224,0.15,0.0425,0.5435238253525,process,ansistrano/deploy,0.147069546698273,0.172870191988979,0.205897137371865,0.343436628723143,0.095627333405789,0.108188215870103
RF,0.108928571425,0.0990325872575,0.55795016454,0.26875,0.0712500000025,0.50105342217,delta,ansistrano/deploy,0.162402945021784,0.189016227063662,0.179118856326563,0.421336016098242,0.105947596305355,0.128691489264966
