roc_auc,std_roc_auc,pr_auc,std_pr_auc,precision,std_precision,recall,std_recall,f1,std_f1,mcc,std_mcc,metrics,name,approach
0.893772893772894,0.128701290042204,0.750680272108844,0.323761286637487,0.666666666666667,0.436435780471985,0.666666666666667,0.436435780471985,0.666666666666667,0.436435780471985,0.619758204086083,0.49168635901597,iac,aalaesar/install_nextcloud,RF
0.360570381998953,0.268989428139147,0.209473620450511,0.173429491121101,0.142857142857143,0.349927106111883,0.071428571428572,0.174963553055941,0.095238095238095,0.233284737407922,0.022882546239884,0.284435408032481,delta,aalaesar/install_nextcloud,RF
0.4358189429618,0.150398878166242,0.244134891718925,0.152261434357257,0.020408163265306,0.049989586587412,0.071428571428572,0.174963553055941,0.031746031746032,0.077761579135974,-0.124990042442263,0.169467807910069,process,aalaesar/install_nextcloud,RF
0.865227629513344,0.147364145187094,0.716071428571429,0.324988007802472,0.595238095238095,0.416496563917521,0.595238095238095,0.416496563917521,0.57687074829932,0.39306779404093,0.526107813027229,0.446930888655874,iac-process,aalaesar/install_nextcloud,RF
0.87592883307169,0.122293975340455,0.704761904761905,0.311768418036947,0.488095238095238,0.394477179185259,0.595238095238095,0.416496563917521,0.523809523809524,0.392676726249301,0.459257986777565,0.444894376267354,iac-delta,aalaesar/install_nextcloud,RF
0.44179748822606,0.158085087407195,0.189157073085644,0.079244796688176,0,0,0,0,0,0,-0.053375196232339,0.08760318008354,delta-process,aalaesar/install_nextcloud,RF
0.861917844060701,0.19296883950654,0.703463203463203,0.301821956944647,0.304421768707483,0.147027719364292,0.809523809523809,0.349927106111883,0.438095238095238,0.20033984731393,0.366213880858,0.276163299754713,total,aalaesar/install_nextcloud,RF
0.901596685399491,0.099024858090497,0.821625445742832,0.234639344056422,0.767991657465342,0.245321622825518,0.908673334653727,0.044002517264414,0.802798569254585,0.184998603656795,0.676239280842071,0.214042755407682,iac,AlbanAndrieu/ansible-jenkins-slave,RF
0.570198413067056,0.037895599612426,0.522004202930877,0.099723975052545,0.484354425530896,0.263278513171961,0.397336106159636,0.278142190116334,0.362831695029837,0.198602163613686,0.13550291917515,0.126371524038394,delta,AlbanAndrieu/ansible-jenkins-slave,RF
0.524653764382762,0.134654445369526,0.522728864877496,0.185307641083603,0.429383380589521,0.252598018793976,0.405926916221034,0.23512520607585,0.377310725185848,0.218002206658349,0.080900812675826,0.126099165387664,process,AlbanAndrieu/ansible-jenkins-slave,RF
0.893921322756808,0.089484973874678,0.823215093228794,0.223636521503188,0.748251189817424,0.252593585189469,0.892595893576286,0.069674114837725,0.778430202735347,0.204832108787942,0.639128692525827,0.228342812846244,iac-process,AlbanAndrieu/ansible-jenkins-slave,RF
0.89475489194842,0.09679105435534,0.818937831163538,0.22478013889128,0.747646982646983,0.246927973407583,0.904043705024097,0.040594020336454,0.78536293281595,0.198226723744486,0.645893452774103,0.209662642911239,iac-delta,AlbanAndrieu/ansible-jenkins-slave,RF
0.566561921231138,0.113543406704231,0.527473416529266,0.156445373201916,0.436089333019158,0.242376379003694,0.574693008516538,0.302363701558703,0.451406438376913,0.222032066195807,0.083985574663944,0.165233444537801,delta-process,AlbanAndrieu/ansible-jenkins-slave,RF
0.886766156126908,0.090773448093821,0.812780125257743,0.234065704220786,0.729705806176394,0.237459031467879,0.862124513104905,0.080389401658452,0.755393329458041,0.184457242059131,0.591250186041722,0.195507113010551,total,AlbanAndrieu/ansible-jenkins-slave,RF
0.981660231660232,0.018339768339768,0.89047619047619,0.10952380952381,0.9,0.1,0.785714285714286,0.214285714285714,0.833333333333333,0.166666666666667,0.825695058114032,0.174304941885968,iac,AlbanAndrieu/ansible-nabla,RF
0.560810810810811,0.060810810810811,0.097222222222222,0.013888888888889,0.055555555555556,0.055555555555556,0.5,0.5,0.1,0.1,0.082199493652679,0.082199493652679,delta,AlbanAndrieu/ansible-nabla,RF
0.585673335673336,0.088569088569089,0.104245169979475,0.018203809612361,0.099686028257457,0.02276295133438,0.785714285714286,0.214285714285714,0.176887519260401,0.041294298921418,0.080656591442012,0.125914495838337,process,AlbanAndrieu/ansible-nabla,RF
0.967664092664093,0.032335907335907,0.86171165790731,0.13828834209269,1,0,0.785714285714286,0.214285714285714,0.863636363636364,0.136363636363636,0.870528379680185,0.129471620319815,iac-process,AlbanAndrieu/ansible-nabla,RF
0.976351351351351,0.023648648648649,0.878896103896104,0.121103896103896,0.9,0.1,0.785714285714286,0.214285714285714,0.833333333333333,0.166666666666667,0.825695058114032,0.174304941885968,iac-delta,AlbanAndrieu/ansible-nabla,RF
0.585673335673336,0.088569088569089,0.104245169979475,0.018203809612361,0.099686028257457,0.02276295133438,0.785714285714286,0.214285714285714,0.176887519260401,0.041294298921418,0.080656591442012,0.125914495838337,delta-process,AlbanAndrieu/ansible-nabla,RF
0.968146718146718,0.031853281853282,0.861049683031107,0.138950316968893,1,0,0.785714285714286,0.214285714285714,0.863636363636364,0.136363636363636,0.870528379680185,0.129471620319815,total,AlbanAndrieu/ansible-nabla,RF
0.980245586928671,0.055340457854436,0.94397889254386,0.124591078043408,0.888278149801587,0.208205004069612,0.956529017857143,0.135720811016161,0.905047426531802,0.165305860165981,0.888835242069426,0.183537943905768,iac,ansible-community/ansible-consul,RF
0.5677726177056,0.133390220041291,0.397853601065807,0.181172647495345,0.276909722222222,0.413864091760433,0.106343005952381,0.176988214085424,0.140259306665557,0.214375723955423,0.111013288756833,0.217870668244555,delta,ansible-community/ansible-consul,RF
