id,full_name,release_count,comments_ratio,commit_frequency,core_contributors,has_ci,has_license,iac_ratio,issue_frequency,repository_size,fixing_commit_count,fixed_file_count,clean_count,defective_count
24493024,liip/drifter,32,0.0861,13.03,6,False,True,0.687,0.68,3735,38,42,2703,162
85245901,wazuh/wazuh-ansible,32,0.0592,33.36,8,True,True,0.8402,1.66,6360,98,75,1415,176
42512164,CSCfi/ansible-role-users,33,0.2481,2.54,6,True,True,0.375,0.06,588,9,1,29,29
39130147,HanXHX/ansible-nginx,33,0.0573,5.47,2,True,True,0.7414,0.24,1745,21,17,132,85
51141789,openwisp/ansible-openwisp2,33,0.0789,6.36,3,True,True,0.6222,3.14,1494,7,7,339,93
142121821,oVirt/ovirt-ansible-hosted-engine-setup,33,0.0342,15.15,3,False,True,0.7529,1.96,3781,12,14,1198,99
45568524,stackbuilders/sb-debian-base,33,0.0096,3.08,4,True,True,0.6176,0.33,930,12,13,241,27
24197449,plone/ansible-playbook,34,0.0973,8.06,2,False,False,0.6,0.77,3982,7,4,661,34
19408536,rvm/rvm1-ansible,34,0.0627,3.23,6,True,True,0.3548,1.95,732,16,8,43,39
61397627,tenforwardconsulting/subspace,34,0.089,6.19,3,True,True,0.4876,0.13,3509,12,12,2544,120
112223046,cloudalchemy/ansible-blackbox-exporter,36,0.0905,4.48,3,True,True,0.6111,0.11,804,3,2,54,27
173498378,PyratLabs/ansible-role-k3s,36,0.0504,7.95,2,True,True,0.8617,0.95,1998,17,14,1691,281
28204193,willshersystems/ansible-sshd,36,0.0479,4.35,6,True,True,0.8095,0.1,1351,4,2,28,41
35403824,StackStorm/ansible-st2,39,0.058,13.5,6,True,True,0.9057,1.94,2487,59,61,1970,138
30925564,UnderGreen/ansible-role-mongodb,39,0.079,6.15,10,True,True,0.62,0.61,1738,44,29,179,177
112915877,ansible-ThoTeam/nexus3-oss,41,0.0897,11.08,2,True,True,0.4778,1.92,5336,25,12,1318,133
22950800,ansistrano/deploy,41,0.0479,7.5,8,True,True,0.7273,0.08,1371,20,16,666,162
82927988,viasite-ansible/ansible-role-zsh,42,0.0378,3.36,2,True,False,0.72,0.22,866,24,17,132,75
41480840,evrardjp/ansible-keepalived,43,0.4578,3.02,7,True,True,0.7143,0.03,694,5,4,181,66
65276738,riemers/ansible-gitlab-runner,43,0.0592,4.16,18,True,True,0.8864,0.75,2336,24,25,703,216
40538342,gluster/gdeploy,46,0.1125,20.33,3,False,True,0.3228,0.87,9596,33,34,2294,133
41423976,Oefenweb/ansible-percona-server,55,0.0333,2.12,2,True,True,0.7333,0.06,930,3,4,350,31
32947512,Oefenweb/ansible-supervisor,55,0.0434,2.31,3,True,True,0.75,0.07,485,2,2,36,11
133722058,openfun/arnold,59,0.1398,23.64,4,False,True,0.8629,6.6,5932,12,9,1450,165
112222674,cloudalchemy/ansible-alertmanager,61,0.0777,6.9,4,True,True,0.6154,0.14,1305,8,5,94,36
62896585,ansible-community/ansible-nomad,63,0.0291,4.71,3,True,True,0.6579,0.47,1535,7,5,278,76
42441531,fgci-org/fgci-ansible,65,0.1476,23.86,5,True,True,0.6354,1.29,1918,6,2,499,44
112223013,cloudalchemy/ansible-grafana,66,0.1277,8.89,3,True,True,0.6818,1.81,1680,10,10,426,129
42846136,CSCfi/ansible-role-slurm,67,0.1243,7.28,5,True,True,0.6471,0.18,1374,6,6,336,101
112219931,cloudalchemy/ansible-node-exporter,68,0.026,7.09,3,True,True,0.6053,0.92,1309,7,6,139,101
59615202,openstack/tripleo-validations,70,0.1644,17.74,12,False,True,0.6828,0,11895,6,20,1703,42
60802750,CentOS-PaaS-SIG/linchpin,76,0.104,80.17,5,True,True,0.3756,4.58,41596,113,107,8723,885
23002245,Oefenweb/ansible-postfix,77,0.0237,3.2,5,True,True,0.619,0.54,659,7,5,67,38
142424316,integr8ly/installation,90,0.0453,84.07,15,True,False,0.9134,23.96,9493,97,132,685,42
70871612,ansible-community/ansible-vault,94,0.0417,9.2,6,True,True,0.7547,0.36,2139,17,16,79,10
112219764,cloudalchemy/ansible-prometheus,117,0.0361,12.61,3,True,True,0.6591,0.94,1791,10,8,309,113
151536298,valet-sh/valet-sh,119,0.3323,16.65,2,True,True,0.974,1.23,7495,76,63,13435,342
52862885,openstack/openstack-ansible-os_neutron,126,0.2046,16.69,16,False,True,0.7056,0,5515,21,12,271,37
52862896,openstack/openstack-ansible-os_nova,126,0.2477,16.77,16,False,True,0.7273,0,3644,30,22,481,70
47761730,openstack/openstack-ansible-rabbitmq_server,126,0.3839,7.69,13,False,True,0.6354,0,1656,6,14,291,99
51534449,redhat-openstack/infrared,145,0.0662,112.43,17,False,True,0.825,1.26,45420,267,298,49160,1428
38701252,ansible-community/ansible-consul,153,0.0364,14.2,6,True,True,0.7979,0.66,3098,40,17,1417,564
46383942,ansible-community/molecule,156,0.365,37.25,6,True,True,0.232,2.75,8902,7,2,221,26
179678808,automium/service-kubernetes,204,0.1121,36.53,2,False,True,0.7204,0.25,2908,59,40,1206,174
47001649,openstax/cnx-deploy,247,0.0914,41.18,10,True,False,0.5167,0.03,9330,28,20,21399,267
17373313,ceph/ceph-ansible,255,0.1479,66.79,7,True,True,0.445,4.22,24629,295,267,10188,1090
27195864,openstack/openstack-ansible,323,0.1267,90.79,16,False,True,0.7974,0,45852,124,135,3042,288
250416150,PGBlitz/PGBlitz.com,589,0.0928,863.88,2,False,True,0.1864,0,6937,100,70,45919,1658
