id,full_name,comments_ratio,commit_frequency,core_contributors,has_ci,has_license,iac_ratio,issue_frequency,repository_size,fixing_commit_count,fixed_file_count,clean_count,defective_count
23002245,Oefenweb/ansible-postfix,0.0237,3.2,5,True,True,0.619,0.54,659,7,5,67,38
52862885,openstack/openstack-ansible-os_neutron,0.2046,16.69,16,False,True,0.7056,0,5515,21,12,271,37
112222674,cloudalchemy/ansible-alertmanager,0.0777,6.9,4,True,True,0.6154,0.14,1305,8,5,94,36
134776948,NVIDIA/deepops,0.033,82.86,4,False,True,0.5166,2.3,68820,66,56,1687,35
101707000,jmunixusers/cs-vm-build,0.1589,13.76,3,True,True,0.6053,0.71,2599,45,37,291,35
125180845,snowdrop/k8s-infra,0.0831,47,2,False,False,0.752,1.31,7407,60,54,432,34
100011735,freeipa/ansible-freeipa,0.1216,22.9,2,True,False,0.6715,6.72,37823,8,9,1192,34
24197449,plone/ansible-playbook,0.0973,8.06,2,False,False,0.6,0.77,3982,7,4,661,34
23215874,oravirt/ansible-oracle,0.1782,9.11,2,False,True,0.8942,0.49,7565,18,12,806,32
41423976,Oefenweb/ansible-percona-server,0.0333,2.12,2,True,True,0.7333,0.06,930,3,4,350,31
31433462,nusenu/ansible-relayor,0.1145,6.58,2,True,True,0.75,0.82,1461,21,13,143,30
42512164,CSCfi/ansible-role-users,0.2481,2.54,6,True,True,0.375,0.06,588,9,1,29,29
48749148,antoiner77/caddy-ansible,0.0361,4.3,5,True,True,0.5909,0.03,454,12,15,22,27
45568524,stackbuilders/sb-debian-base,0.0096,3.08,4,True,True,0.6176,0.33,930,12,13,241,27
112223046,cloudalchemy/ansible-blackbox-exporter,0.0905,4.48,3,True,True,0.6111,0.11,804,3,2,54,27
46383942,ansible-community/molecule,0.365,37.25,6,True,True,0.232,2.75,8902,7,2,221,26
42811525,dj-wasabi/ansible-telegraf,0.0105,4.98,7,True,True,0.6667,0.61,1314,10,8,59,25
55089698,caktus/tequila-django,0.1319,4.93,5,False,True,0.5,0.07,882,11,7,78,24
38866407,HanXHX/ansible-debian-bootstrap,0.0788,2.81,2,True,True,0.7778,0.15,713,11,12,158,23
41636424,netbootxyz/netboot.xyz,0.0109,33.87,4,True,True,0.8239,0.76,3253,3,4,166,23
81999200,naftulikay/ansible-role-degoss,0.1792,2.16,2,True,True,0.3429,0.16,1150,5,4,37,22
68048671,lae/ansible-role-proxmox,0.0526,5.68,2,True,True,0.5625,1.04,2541,13,8,180,21
65465246,anthcourtney/ansible-role-cis-amazon-linux,0.086,5.67,4,True,True,0.8933,1.34,5731,11,14,1765,20
130664395,wso2/ansible-apim,0.3147,6.62,4,False,True,0.6818,0.9,1751,2,9,78,20
78658768,kibatic/ansible-traefik,0.0462,2.02,2,True,True,0.5333,0.2,165,8,7,22,20
