roc_auc,std_roc_auc,pr_auc,std_pr_auc,precision,std_precision,recall,std_recall,f1,std_f1,mcc,std_mcc,approach,name
0.8682108211997397,0.07184830049839401,0.4367091344403811,0.20262407866557408,0.4930732980583599,0.2544455182472542,0.5103881900045583,0.17329516430222833,0.4379251397200877,0.1763287906070733,0.4115155757529959,0.16038465745861566,NB,CentOS-PaaS-SIG/linchpin
0.9249371645840104,0.057414407838075374,0.667051053393136,0.18811367506772209,0.5704290017089061,0.2791129879137,0.5322704226956145,0.1997535099841525,0.5248272704821916,0.219245961170876,0.5007181811165847,0.2086571708148568,LR,CentOS-PaaS-SIG/linchpin
0.9172325194377036,0.07816805534634076,0.5999335677254762,0.2430733205267628,0.4008985025979184,0.22302439263615711,0.9062809660028328,0.17551192537313118,0.5122780632395108,0.24089345970088374,0.5130510543399961,0.20975538534190208,SVM,CentOS-PaaS-SIG/linchpin
0.9328961985991732,0.10280851121112004,0.6921332541904619,0.2601583033326245,0.7115778465070706,0.2353092317669707,0.8918547913912364,0.2011034791534044,0.7606518823852103,0.22262647473165129,0.7598510697080688,0.21106447189589936,CART,CentOS-PaaS-SIG/linchpin
0.9770196269678788,0.04353853800167699,0.8850603485491659,0.17263950717285367,0.7905744950856095,0.22938007767919705,0.8813512600405184,0.21113151343788028,0.8066790198204573,0.21290429252403573,0.8057900512110018,0.20070924158416964,RF,CentOS-PaaS-SIG/linchpin
0.9158002338344852,0.08435988775209112,0.7064331656466915,0.19518086513606592,0.7978174603174601,0.2256315323096176,0.7619047619047619,0.1367753011080483,0.7499020021445271,0.149220949706043,0.7308108382162944,0.1598517754759443,NB,ansible-ThoTeam/nexus3-oss
0.9397108843537416,0.11401081575797944,0.9110502829111852,0.13262068105748814,0.9107142857142856,0.15781332437875428,0.9047619047619048,0.1438457853999354,0.8983182161753591,0.1305651989790767,0.8910015478699782,0.1432628648185728,LR,ansible-ThoTeam/nexus3-oss
0.95124607008665,0.127889397359995,0.9281681422569028,0.12534142850857866,0.8055555555555555,0.13938008380016528,0.9126984126984128,0.17997683286426294,0.8396447467876038,0.1338005339520214,0.828267539208065,0.14527274023026646,SVM,ansible-ThoTeam/nexus3-oss
0.9778250188964474,0.05213070694958027,0.9310537372843872,0.14272322978726554,0.9626984126984126,0.10842850055649672,0.9623015873015872,0.10319367955512576,0.956386999244142,0.09095181906675072,0.9548698870818711,0.09235102018700796,CART,ansible-ThoTeam/nexus3-oss
0.9983512849584276,0.00728377931651134,0.9915343915343916,0.0364551800397622,0.9603174603174602,0.1079481786407575,0.9623015873015872,0.10319367955512576,0.955328798185941,0.08833211018554284,0.9546270710177758,0.0902182234185474,RF,ansible-ThoTeam/nexus3-oss
0.9643141712863272,0.08105907873073083,0.6476190476190475,0.2102530599214889,0.7083333333333333,0.23199018178458425,0.9375,0.16535945694153692,0.7666666666666666,0.14142135623730953,0.7901075474404189,0.12610019102041345,NB,goodrain/rainbond-ansible
0.9961538461538462,0.006661733875264914,0.8958333333333333,0.18042195912175807,0.3011904761904762,0.15930155092460374,1.0,0.0,0.4425595238095239,0.16766891464323888,0.5195485059901882,0.13483558772382925,LR,goodrain/rainbond-ansible
0.94798801369863,0.12281688526855665,0.8461084905660378,0.2748925473345898,0.5625,0.4635124054434789,0.5,0.4330127018922193,0.5,0.40824829046386296,0.5132132267139071,0.4139590319686221,SVM,goodrain/rainbond-ansible
0.9631637730342972,0.08377674034097067,0.7289490049751244,0.2901931862873886,0.7583333333333333,0.25097033910625993,0.9375,0.16535945694153692,0.8172619047619047,0.1992607866869724,0.8268897423557742,0.19248237701003307,CART,goodrain/rainbond-ansible
1.0,0.0,1.0,0.0,0.9375,0.16535945694153692,0.9375,0.16535945694153692,0.9166666666666666,0.14433756729740646,0.925461697928784,0.12910413962516246,RF,goodrain/rainbond-ansible
0.875,0.21650635094610965,0.78125,0.3788861141556919,0.75,0.4330127018922193,0.75,0.4330127018922193,0.75,0.4330127018922193,0.75,0.4330127018922193,NB,idealista/mysql_role
1.0,0.0,1.0,0.0,0.875,0.21650635094610965,1.0,0.0,0.9166666666666666,0.14433756729740646,0.9136634176769944,0.1495393471352989,LR,idealista/mysql_role
1.0,0.0,1.0,0.0,0.9375,0.16535945694153692,1.0,0.0,0.9583333333333331,0.11023963796102462,0.9568317088384972,0.11421256293696412,SVM,idealista/mysql_role
1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,CART,idealista/mysql_role
1.0,0.0,1.0,0.0,0.875,0.33071891388307384,0.875,0.33071891388307384,0.875,0.33071891388307384,0.875,0.33071891388307384,RF,idealista/mysql_role
0.7197091341721156,0.0680904827687048,0.14041408093674418,0.0747133028856984,0.10820514954712088,0.05829676134321736,0.5732323232323232,0.3622307288291133,0.15663064948850408,0.057576926130815866,0.1442806628639113,0.06609640752238978,NB,tenforwardconsulting/subspace
0.8755963378327617,0.09426122647163056,0.41996594848523455,0.19153485729013345,0.31937949079097405,0.21255167259663094,0.8712121212121212,0.16551484452700949,0.4351158755377608,0.19809822551476727,0.4644120972598143,0.18830516241879525,LR,tenforwardconsulting/subspace
0.9163473725117482,0.10437795426069996,0.6960653306832257,0.21418894950562445,0.6963924963924965,0.2836597130756149,0.7803030303030303,0.2878123261930635,0.6828545192181555,0.2107306416061411,0.6987085017743583,0.20701357447317395,SVM,tenforwardconsulting/subspace
