approach,f1,mcc,name,pr_auc,precision,recall,roc_auc,std_f1,std_mcc,std_pr_auc,std_precision,std_recall,std_roc_auc
SVM,0.8757062147,0.8496630445,cloudalchemy__ansible-node-exporter,0.9456214689,0.9152542373,0.884180791,0.9481167608,0.2279715273,0.2549199845,0.0921386914,0.2241806201,0.2572017998,0.1411079235
NB,0.7880952381,0.5468090275,cloudalchemy__ansible-node-exporter,0.8478813559,0.7268361582,0.9406779661,0.8513888889,0.2525556372,0.5141884071,0.1848333169,0.3048264757,0.200664414,0.243149901
LR,0.8734463277,0.8184238837,cloudalchemy__ansible-node-exporter,0.9152542373,0.9011299435,0.8785310734,0.9233521657,0.239725177,0.3495405271,0.1907041204,0.247622678,0.2508563647,0.1774126124
RF,0.9423728814,0.9204685537,cloudalchemy__ansible-node-exporter,0.9661016949,0.9463276836,0.9661016949,0.9779896422,0.1246963179,0.1675327089,0.0784120954,0.1547754523,0.1139087297,0.0817104265
CART,0.9531073446,0.9345495917,cloudalchemy__ansible-node-exporter,0.9675141243,0.9519774011,0.9689265537,0.968220339,0.1574417232,0.2131887716,0.1217969556,0.1737230719,0.1486745465,0.1030202403
SVM,0.8445512821,0.8045434851,cloudalchemy__ansible-prometheus,0.8935897436,0.8128205128,0.9326923077,0.9478098291,0.2415388954,0.2950107826,0.1692398745,0.2888345167,0.2124833211,0.1196335421
NB,0.7645604396,0.6589272901,cloudalchemy__ansible-prometheus,0.8421474359,0.7067307692,0.8782051282,0.8443643162,0.2361687879,0.2703821241,0.1248226676,0.2632647512,0.2596747321,0.1555234565
LR,0.8602564103,0.8243331878,cloudalchemy__ansible-prometheus,0.9086538462,0.8493589744,0.9423076923,0.9535790598,0.1891318969,0.2308693358,0.1310090028,0.2558286673,0.1382298632,0.1168640685
RF,0.8974358974,0.8754580094,cloudalchemy__ansible-prometheus,0.9302884615,0.9038461538,0.9326923077,0.9892628205,0.1926919238,0.2384614688,0.148380042,0.2249077538,0.1885040507,0.0501423332
CART,0.8846153846,0.855881957,cloudalchemy__ansible-prometheus,0.9182692308,0.8974358974,0.9070512821,0.9318910256,0.2196015757,0.2829715768,0.1806922117,0.2427448234,0.2297654451,0.141399835
SVM,0.4104497354,0.4327951536,oVirt__ovirt-ansible-disaster-recovery,0.6370517343,0.6574074074,0.4444444444,0.852747669,0.1900075069,0.2002297411,0.0941669185,0.4014719146,0.2832788619,0.0804091016
NB,0.2704982261,0.205940486,oVirt__ovirt-ansible-disaster-recovery,0.4700883563,0.2097240378,0.6944444444,0.6894480417,0.1650370331,0.1690363808,0.1634441509,0.1722489297,0.3286710991,0.1387431305
LR,0.5703703704,0.587919061,oVirt__ovirt-ansible-disaster-recovery,0.6972369195,0.8888888889,0.4444444444,0.8610240223,0.261262105,0.2804691255,0.2478665586,0.3142696805,0.2576005138,0.1202284405
RF,0.662962963,0.6832005994,oVirt__ovirt-ansible-disaster-recovery,0.7759406232,0.9444444444,0.5555555556,0.9085648148,0.2087259675,0.1945092254,0.1437375494,0.1571348403,0.2576005138,0.129722499
CART,0.6212602213,0.6273625106,oVirt__ovirt-ansible-disaster-recovery,0.731510876,0.7049382716,0.7222222222,0.8297689862,0.26180679,0.2689330718,0.1944031656,0.3052854524,0.3215510251,0.1720312556
SVM,0.5318697176,0.5606999728,sensu__sensu-ansible,0.6445516612,0.4374716553,0.8452380952,0.8828443198,0.2466131856,0.2416598181,0.2252562326,0.2832993778,0.2849692668,0.2582105132
NB,0.3248329917,0.3615800946,sensu__sensu-ansible,0.5804337684,0.2850649351,0.869047619,0.85090478,0.280133435,0.2776026314,0.1996756341,0.3363849464,0.2829729601,0.1334657029
LR,0.6928571429,0.7054901885,sensu__sensu-ansible,0.7480947451,0.6785714286,0.8095238095,0.9654532967,0.256712603,0.259673898,0.2444086212,0.3178816648,0.2945075447,0.0855483617
RF,0.6714285714,0.6867028383,sensu__sensu-ansible,0.761822517,0.7023809524,0.7380952381,0.9882636582,0.3209255323,0.3222546545,0.2511994579,0.3789007253,0.3547539149,0.0175837
CART,0.7513605442,0.7780044778,sensu__sensu-ansible,0.831517588,0.7976190476,0.8571428571,0.9195436508,0.2294285133,0.1987283064,0.143473403,0.296665138,0.2344966143,0.1126584524
SVM,0.3021230475,0.2376635872,nginxinc__ansible-role-nginx,0.5410365424,0.2073031136,0.5729166667,0.6887303598,0.2010072495,0.1949094765,0.0948733748,0.1425053232,0.3570653438,0.1501170492
NB,0.1736312009,0.073157171,nginxinc__ansible-role-nginx,0.455331711,0.1009626645,0.6354166667,0.6068300443,0.1213516231,0.1043192944,0.1774016359,0.0715800173,0.3995168523,0.0878607619
LR,0.3635806258,0.2944952133,nginxinc__ansible-role-nginx,0.538964668,0.2860857213,0.6145833333,0.7616750679,0.2425768463,0.2528096551,0.1500161602,0.2209624373,0.2793143266,0.1510397468
RF,0.5708333333,0.5519201366,nginxinc__ansible-role-nginx,0.6644701366,0.5579861111,0.7366071429,0.9309852263,0.1759399361,0.1584606474,0.1291064379,0.1967200056,0.2808639326,0.0421728182
CART,0.5628918875,0.5285121567,nginxinc__ansible-role-nginx,0.6591846986,0.433016983,0.8675595238,0.8583548951,0.1412139216,0.1255773607,0.0876083059,0.1337542059,0.1168604895,0.070505786
SVM,0.9232089232,0.8861724252,UnderGreen__ansible-role-mongodb,0.9441441441,0.8984984985,0.9810810811,0.9554509055,0.1593365087,0.2018295105,0.1004219987,0.1905449776,0.0640432195,0.0923472403
NB,0.7227545728,0.6032193618,UnderGreen__ansible-role-mongodb,0.8314086814,0.8423423423,0.6882882883,0.8696400946,0.1458449701,0.2159187105,0.1265773222,0.2240962696,0.198563341,0.1267052012
LR,0.9202059202,0.8697921622,UnderGreen__ansible-role-mongodb,0.9400900901,0.887987988,0.9864864865,0.9547206297,0.1512242486,0.2322749017,0.1000490798,0.1918749728,0.0565310829,0.0910459775
RF,0.9447447447,0.9248474596,UnderGreen__ansible-role-mongodb,0.9596096096,0.9364864865,0.9720720721,0.9753367003,0.1232140018,0.1467222661,0.0893465942,0.1566751885,0.0817465186,0.0688320811
CART,0.933951484,0.9057369257,UnderGreen__ansible-role-mongodb,0.9502691003,0.924002574,0.9644144144,0.9536991537,0.1359585222,0.1737912311,0.1034039234,0.1572309515,0.1294572965,0.0882830285
SVM,0.7357142857,0.6495040667,caddy-ansible__caddy-ansible,0.8460034014,0.8714285714,0.7142857143,0.851984127,0.0619962694,0.0879562622,0.0615264427,0.2050385728,0.1934294858,0.1045346863
NB,0.612244898,0.3874834808,caddy-ansible__caddy-ansible,0.7375,0.5523809524,0.880952381,0.7135487528,0.1540219283,0.1352057262,0.0779511956,0.2442072649,0.1934294858,0.0799644118
LR,0.7142857143,0.4213699748,caddy-ansible__caddy-ansible,0.7834183673,0.6714285714,0.8571428571,0.8083333333,0.1398492872,0.3328884066,0.1167882664,0.2118913853,0.2258769757,0.1658777625
RF,0.7605442177,0.5367510966,caddy-ansible__caddy-ansible,0.8465136054,0.8214285714,0.8095238095,0.8686507937,0.1215842482,0.356776424,0.0842673775,0.220157643,0.2258769757,0.1200263996
CART,0.7659863946,0.6349516001,caddy-ansible__caddy-ansible,0.8567176871,0.8928571429,0.7142857143,0.8349206349,0.132539634,0.2819388706,0.097164152,0.1821078398,0.1934294858,0.1556324721
SVM,0.8547619048,0.8052381819,cloudalchemy__ansible-snmp-exporter,0.880952381,0.8333333333,0.8928571429,0.9285714286,0.2810431653,0.3765236271,0.2329807832,0.2954684201,0.2789374884,0.1684639488
NB,0.7547619048,0.7105152568,cloudalchemy__ansible-snmp-exporter,0.875,0.7261904762,0.8214285714,0.8607142857,0.3663650584,0.4125143268,0.1746595328,0.3863090652,0.3589241293,0.2036967033
LR,0.8642857143,0.8246570994,cloudalchemy__ansible-snmp-exporter,0.8928571429,0.8333333333,0.9285714286,0.9,0.2767338661,0.3564877635,0.2236701694,0.3021089891,0.2575393768,0.1679710859
RF,0.8904761905,0.8588096105,cloudalchemy__ansible-snmp-exporter,0.9107142857,0.869047619,0.9285714286,0.9464285714,0.2650033158,0.3458162952,0.2192707197,0.2829729601,0.2575393768,0.1931545326
CART,0.9285714286,0.9069438282,cloudalchemy__ansible-snmp-exporter,0.9464285714,0.9166666667,0.9642857143,0.9589285714,0.1749635531,0.230966988,0.1321643054,0.2065398997,0.1287696884,0.1059005357
SVM,0.9092198582,0.9048311155,dockpack__ansible-nomad,0.9584726444,0.9219858156,0.9078014184,0.9865248227,0.2507390615,0.2534943311,0.1027991515,0.2499434069,0.261403085,0.0503695912
NB,0.7588652482,0.7342809494,dockpack__ansible-nomad,0.8572568389,0.8843971631,0.7411347518,0.9056737589,0.2377209328,0.2671108471,0.1440590606,0.264606498,0.2746338862,0.1164144485
LR,0.9489361702,0.9412675765,dockpack__ansible-nomad,0.9690096251,0.965248227,0.9609929078,0.9606382979,0.1341906945,0.1553878153,0.0814304011,0.1417481946,0.1296146587,0.1436367205
RF,0.9744680851,0.9719542057,dockpack__ansible-nomad,0.9863855117,1.0,0.9609929078,0.9978723404,0.0853895997,0.0928154879,0.0456168847,0.0,0.1296146587,0.0144304893
CART,0.9730496454,0.9686609027,dockpack__ansible-nomad,0.9830927052,0.9858156028,0.9716312057,0.9822695035,0.0809629685,0.0922202052,0.0498394228,0.0672825034,0.1104426348,0.0568482962
SVM,0.8245098039,0.7805301042,Stouts__Stouts.openvpn,0.8628267974,0.7705882353,0.9411764706,0.9105042017,0.172080469,0.2249185392,0.1388623581,0.2306235801,0.1610948699,0.162958056
NB,0.8904761905,0.8532493797,Stouts__Stouts.openvpn,0.918627451,0.837254902,1.0,0.9388655462,0.1646496598,0.2202410322,0.1174180778,0.2348361556,0.0,0.1043464365
LR,0.7728291317,0.7319300125,Stouts__Stouts.openvpn,0.8387955182,0.7,0.9607843137,0.9794117647,0.1693364771,0.181913851,0.1061210683,0.2246275058,0.1568627451,0.0619744338
RF,0.8882352941,0.8730579583,Stouts__Stouts.openvpn,0.9199346405,0.862745098,0.9705882353,0.9901960784,0.1628749777,0.1792555343,0.1138878339,0.2231334642,0.1176470588,0.0392156863
CART,0.9274509804,0.9132878701,Stouts__Stouts.openvpn,0.9460784314,0.8921568627,1.0,0.9700280112,0.1438205555,0.1642245171,0.1028243969,0.2056487938,0.0,0.0557908379
SVM,0.578780284,0.5716999049,UtrechtUniversity__yoda-ansible,0.6845218955,0.6353276353,0.6888888889,0.8715522573,0.0404440843,0.064255296,0.0800219833,0.2579567167,0.245452467,0.0867329834
NB,0.4625745951,0.400529193,UtrechtUniversity__yoda-ansible,0.5389247723,0.3889483066,0.6444444444,0.8609977324,0.1027580052,0.0996686017,0.0939598719,0.1494913598,0.139664501,0.0324477203
LR,0.3157894737,0.3163629821,UtrechtUniversity__yoda-ansible,0.6364216645,0.2163461538,0.6666666667,0.6549165121,0.2578410256,0.2591037308,0.0668150009,0.1895231091,0.4714045208,0.3865105487
RF,0.4888888889,0.4775372385,UtrechtUniversity__yoda-ansible,0.7069067539,0.4074074074,0.6111111111,0.9531746032,0.3499559055,0.3435643903,0.1015302631,0.2916299213,0.4374448819,0.0447692215
CART,0.5233511586,0.5485237368,UtrechtUniversity__yoda-ansible,0.703913545,0.7070707071,0.6444444444,0.7949494949,0.2565081589,0.2056430343,0.0921207897,0.2245061694,0.3909469352,0.1789946302
SVM,0.7606481481,0.7152992943,cloudalchemy__ansible-grafana,0.8274320587,0.7538888889,0.8069444444,0.9020072751,0.3123924957,0.3430192666,0.2427138106,0.3304509638,0.3338508714,0.1625757179
NB,0.5589045214,0.4583171428,cloudalchemy__ansible-grafana,0.7104007335,0.574973545,0.7361111111,0.8487136243,0.255362151,0.3227405893,0.1861174355,0.334521698,0.3020633774,0.139465411
LR,0.7583465608,0.7149798471,cloudalchemy__ansible-grafana,0.8149621212,0.7138888889,0.8527777778,0.8984126984,0.3238586529,0.3787636849,0.2576807338,0.3400322243,0.3306722483,0.1972933904
RF,0.8753968254,0.854458127,cloudalchemy__ansible-grafana,0.9078808923,0.8902777778,0.8958333333,0.9705919312,0.241850023,0.2752108361,0.2085386096,0.2575218737,0.2512123382,0.090246194
CART,0.8539417989,0.8298392353,cloudalchemy__ansible-grafana,0.8908670034,0.85,0.9041666667,0.9277579365,0.2466604855,0.2778312883,0.2104951172,0.2741822859,0.2461861874,0.1340587438
SVM,0.7318027211,0.7365663137,lean-delivery__ansible-role-java,0.8109049989,0.7911124795,0.8125,0.9221763454,0.277369795,0.2937759426,0.2006711751,0.3286380315,0.2760486859,0.1405279353
NB,0.3509532733,0.3483769655,lean-delivery__ansible-role-java,0.612730757,0.284504571,0.8928571429,0.8902722126,0.3039985243,0.3126459709,0.1674046279,0.3111494735,0.2448448072,0.1256021708
LR,0.7143024053,0.7235498174,lean-delivery__ansible-role-java,0.7941459958,0.7012213976,0.8779761905,0.9422674753,0.2505524426,0.2488481748,0.1729652622,0.3217339877,0.1998041487,0.1272762714
RF,0.7845238095,0.797144194,lean-delivery__ansible-role-java,0.8572831356,0.8333333333,0.8273809524,0.993542069,0.2263376714,0.218778194,0.1294885429,0.2781743201,0.2690449852,0.0215719893
CART,0.7010204082,0.7165930065,lean-delivery__ansible-role-java,0.7917411124,0.7023809524,0.8273809524,0.8995246289,0.2401285867,0.2296618174,0.1495269383,0.3097526626,0.2690449852,0.1290436489
SVM,0.8031746032,0.7507966864,Oefenweb__ansible-wordpress,0.8482638889,0.7277777778,0.9583333333,0.9623015873,0.1936280236,0.2493273432,0.1477792626,0.2497529644,0.1381926996,0.0600341876
NB,0.7111111111,0.6619270621,Oefenweb__ansible-wordpress,0.796875,0.6805555556,0.875,0.8709656085,0.1945237933,0.2650821943,0.145864332,0.2842984651,0.2165063509,0.1390843846
LR,0.8253968254,0.78118627,Oefenweb__ansible-wordpress,0.8743055556,0.7486111111,1.0,0.9866071429,0.2000125972,0.249618086,0.1358894879,0.2717789759,0.0,0.0350571994
RF,0.9222222222,0.8923659766,Oefenweb__ansible-wordpress,0.9375,0.875,1.0,0.9563492063,0.114934227,0.1636000437,0.0908103947,0.1816207893,0.0,0.0810826061
CART,0.9087301587,0.8742660283,Oefenweb__ansible-wordpress,0.9333333333,0.8666666667,1.0,0.9429563492,0.1596698376,0.2270064484,0.1160699023,0.2321398046,0.0,0.1117151153
SVM,0.8854166667,0.8364034708,cloudalchemy__ansible-alertmanager,0.90625,0.875,0.90625,0.90625,0.2017178826,0.2952083741,0.1663408273,0.2165063509,0.1951561874,0.2000976324
NB,0.7544642857,0.6663004974,cloudalchemy__ansible-alertmanager,0.8197916667,0.7645833333,0.8125,0.896875,0.2239422653,0.3208093628,0.1757146865,0.270151385,0.2420614591,0.1070283987
LR,0.7979166667,0.7183676681,cloudalchemy__ansible-alertmanager,0.8385416667,0.7604166667,0.875,0.9203125,0.2218823356,0.3155517286,0.177923863,0.2497828918,0.2165063509,0.1065139185
RF,0.8854166667,0.8487293205,cloudalchemy__ansible-alertmanager,0.9114583333,0.8645833333,0.9375,0.97265625,0.2017178826,0.2738084012,0.1572019612,0.2373080365,0.1653594569,0.0795763625
CART,0.8958333333,0.8603069415,cloudalchemy__ansible-alertmanager,0.9166666667,0.875,0.9375,0.940625,0.185170717,0.2601623847,0.1502313031,0.2165063509,0.1653594569,0.1237042213
SVM,0.1729585969,0.102394473,bluebanquise__bluebanquise,0.4689835345,0.0967986352,0.8296296296,0.585990861,0.0361819033,0.0349564626,0.0873633712,0.0210951291,0.1685897285,0.0334599325
NB,0.1490651914,0.0459307208,bluebanquise__bluebanquise,0.4751216525,0.082111437,0.8571428571,0.5802441203,0.0426646758,0.0814175645,0.1000293623,0.0245878855,0.2020305089,0.1241250245
LR,0.2087774295,0.1205185658,bluebanquise__bluebanquise,0.4478504373,0.1235653236,0.7534391534,0.6853400858,0.0246822306,0.1005335096,0.0510965018,0.0219400024,0.1337191026,0.0989292091
RF,0.4318181818,0.4356437103,bluebanquise__bluebanquise,0.6583611902,0.5833333333,0.3428571429,0.8665917932,0.316554279,0.3212998966,0.1109225787,0.4249182928,0.2523360248,0.0600357111
CART,0.4376384932,0.375413533,bluebanquise__bluebanquise,0.5659416054,0.4037037037,0.7058201058,0.7089784522,0.1761952657,0.2377787292,0.064707398,0.2108835681,0.19937474,0.1352778213
SVM,0.7334693878,0.7319889863,riemers__ansible-gitlab-runner,0.8458731744,0.7047619048,0.7904761905,0.9470305634,0.3913586937,0.3964602978,0.2234049581,0.4005664923,0.3990919398,0.11567849
NB,0.6034013605,0.62233665,riemers__ansible-gitlab-runner,0.7819554255,0.5628571429,0.8380952381,0.8766344433,0.381884186,0.3672389102,0.1957775908,0.419051948,0.3596420493,0.1681488313
LR,0.8038095238,0.7963201167,riemers__ansible-gitlab-runner,0.8567266067,0.7761904762,0.8666666667,0.9585772874,0.3368171685,0.3575403302,0.2588129824,0.3562210326,0.3304638395,0.092711978
RF,0.7980952381,0.7929465708,riemers__ansible-gitlab-runner,0.8859473859,0.780952381,0.8285714286,0.964547733,0.3732264181,0.3848219474,0.2146965012,0.3795808644,0.3768830274,0.1082774609
CART,0.8130612245,0.8081749363,riemers__ansible-gitlab-runner,0.8875707626,0.7880952381,0.8571428571,0.9187533769,0.3468481674,0.359221705,0.2082468942,0.3570952349,0.3499271061,0.1839210971
SVM,0.7193709583,0.6641274223,HanXHX__ansible-nginx,0.8176012259,0.7524691358,0.7598765432,0.8971907568,0.2890637702,0.3189199708,0.216711534,0.3312497753,0.2984617373,0.1481623382
NB,0.7163858775,0.5718950501,HanXHX__ansible-nginx,0.7912677857,0.6493533216,0.8956790123,0.8292171383,0.2003085646,0.299085578,0.1612510554,0.2684666927,0.1801686791,0.1624470348
LR,0.7793650794,0.7185713945,HanXHX__ansible-nginx,0.8424609341,0.7950617284,0.8339506173,0.8996316338,0.2025433637,0.255882747,0.1550179612,0.2568331517,0.198579393,0.1242467327
RF,0.8030677142,0.7584945828,HanXHX__ansible-nginx,0.8739920573,0.812345679,0.8444444444,0.9398112741,0.256482349,0.3092989816,0.1562968165,0.2808201024,0.2682054369,0.0930481562
CART,0.8279541446,0.7721778962,HanXHX__ansible-nginx,0.8760403177,0.8358024691,0.8802469136,0.8877411683,0.1881697431,0.2325814731,0.1450834243,0.2298104293,0.1985563658,0.123659774
SVM,0.6993435857,0.6478624768,elastic__ansible-elasticsearch,0.7605831216,0.6642316017,0.8153679654,0.8900839975,0.2672315111,0.3159544246,0.2169401936,0.2972011086,0.2448939788,0.1584465421
NB,0.5201440197,0.422401203,elastic__ansible-elasticsearch,0.6325444236,0.5369146006,0.6471861472,0.7768276133,0.2094610845,0.269219634,0.1943912691,0.319168268,0.2486156646,0.1751569186
LR,0.6484573219,0.5827716153,elastic__ansible-elasticsearch,0.75094148,0.5723304473,0.9071428571,0.8509805703,0.2865754264,0.3363998858,0.2000371795,0.3347901833,0.174419259,0.1743559695
RF,0.7179555293,0.7000566804,elastic__ansible-elasticsearch,0.7954506421,0.7977272727,0.7413419913,0.9192403794,0.3015476849,0.3068600594,0.2380335961,0.2882065518,0.3268396118,0.126540431
CART,0.7151875902,0.6862400497,elastic__ansible-elasticsearch,0.7979809922,0.7875541126,0.7478354978,0.846543287,0.2554244749,0.2944598742,0.1940078241,0.2939916888,0.2746729367,0.1547061482
SVM,0.1048580965,-0.0050263236,openstack__kolla-ansible,0.4761627714,0.0772860694,0.8678012831,0.4357602297,0.0418006837,0.0822641686,0.1039209382,0.0734022314,0.2909003806,0.1088683747
NB,0.1961705346,0.1602674206,openstack__kolla-ansible,0.4403524201,0.1372279879,0.7291252044,0.7561098743,0.1065543725,0.1168853987,0.0602069169,0.1012851796,0.2184025862,0.0793954541
LR,0.1833612853,0.1889852247,openstack__kolla-ansible,0.4799613183,0.1046093317,0.8485045227,0.7925539643,0.0525657439,0.0894439083,0.0565262952,0.0349105296,0.114521318,0.0816488964
RF,0.6704875855,0.6682974015,openstack__kolla-ansible,0.7036943294,0.7871813634,0.5990768828,0.9505348321,0.0979267976,0.0958476184,0.0899429511,0.1334752344,0.1066832991,0.0381363402
CART,0.4914737539,0.4749209924,openstack__kolla-ansible,0.5311135368,0.4585330407,0.5816994926,0.78522688,0.1494118554,0.1373002194,0.1110146651,0.1754808784,0.0953661337,0.0556916866
SVM,1.0,1.0,willshersystems__ansible-sshd,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NB,0.9411764706,0.9411764706,willshersystems__ansible-sshd,0.9803921569,0.9411764706,0.9411764706,0.9705882353,0.2352941176,0.2352941176,0.0784313725,0.2352941176,0.2352941176,0.1176470588
LR,1.0,1.0,willshersystems__ansible-sshd,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
RF,1.0,1.0,willshersystems__ansible-sshd,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CART,1.0,1.0,willshersystems__ansible-sshd,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SVM,0.2708333333,0.2849632384,anthcourtney__ansible-role-cis-amazon-linux,0.6202920084,0.375,0.2291666667,0.8145207487,0.3720952312,0.3836994122,0.1687402386,0.4841229183,0.3429599507,0.196800426
NB,0.0596644112,0.1116796333,anthcourtney__ansible-role-cis-amazon-linux,0.397745436,0.0311505639,0.7604166667,0.7366838201,0.0293322883,0.0693396968,0.1843072251,0.0154136508,0.3618948493,0.1396494776
LR,0.0,0.0,anthcourtney__ansible-role-cis-amazon-linux,0.5073335919,0.0,0.0,0.3594885392,0.0,0.0,0.0016149271,0.0,0.0,0.1181354702
RF,0.6208333333,0.6440991279,anthcourtney__ansible-role-cis-amazon-linux,0.6802949985,0.7708333333,0.5833333333,0.9541176319,0.3063846076,0.3051382136,0.2994023643,0.3429599507,0.3535533906,0.077782762
CART,0.594047619,0.6168550254,anthcourtney__ansible-role-cis-amazon-linux,0.6538320534,0.6875,0.6145833333,0.805096103,0.324602932,0.3255082556,0.3219839794,0.3578242508,0.3973381484,0.1984152047
SVM,0.9254901961,0.8823529412,Oefenweb__ansible-postfix,0.9558823529,0.9019607843,0.9705882353,0.9705882353,0.1952137798,0.2727534852,0.0974245437,0.2290847342,0.1689577249,0.1176470588
NB,0.9156862745,0.8676470588,Oefenweb__ansible-postfix,0.9485294118,0.887254902,0.9705882353,0.9411764706,0.1995477393,0.2794117647,0.1030869649,0.2381868748,0.1689577249,0.1363767426
LR,0.9352941176,0.8970588235,Oefenweb__ansible-postfix,0.9632352941,0.9166666667,0.9705882353,0.9558823529,0.1902769183,0.2651140644,0.0908186633,0.218618658,0.1689577249,0.1418183935
RF,0.9607843137,0.9411764706,Oefenweb__ansible-postfix,0.9754901961,0.9558823529,0.9852941176,0.9852941176,0.1073965799,0.1610948699,0.0715417623,0.1418183935,0.0844788624,0.0844788624
CART,0.9803921569,0.9705882353,Oefenweb__ansible-postfix,0.9852941176,0.9705882353,1.0,0.9852941176,0.0784313725,0.1176470588,0.0588235294,0.1176470588,0.0,0.0588235294
SVM,0.8595238095,0.8208922602,antoiner77__caddy-ansible,0.8958333333,0.7916666667,1.0,0.9391534392,0.1788886072,0.1950401474,0.1220721933,0.2441443865,0.0,0.089047792
NB,0.6527777778,0.4270925571,antoiner77__caddy-ansible,0.7131944444,0.5722222222,0.8333333333,0.7492063492,0.3416214966,0.4458375108,0.3159569593,0.355077804,0.3726779962,0.231032823
LR,0.7345238095,0.5851200792,antoiner77__caddy-ansible,0.8097222222,0.6472222222,0.9444444444,0.8650793651,0.2063968962,0.2503216889,0.1215654703,0.2373496925,0.1242259987,0.1491134463
RF,0.8595238095,0.8208922602,antoiner77__caddy-ansible,0.8958333333,0.7916666667,1.0,0.9338624339,0.1788886072,0.1950401474,0.1220721933,0.2441443865,0.0,0.1062491303
CART,0.8079365079,0.7395467213,antoiner77__caddy-ansible,0.8638888889,0.7277777778,1.0,0.8801587302,0.2250668275,0.2371608109,0.1340835376,0.2681670752,0.0,0.1008436322
SVM,0.5956567222,0.5993422229,liip__drifter,0.6705167167,0.5230365971,0.7637400794,0.942853476,0.2271801465,0.2362758989,0.1841229303,0.246113544,0.2857961149,0.1037964942
NB,0.1382409001,0.1396126415,liip__drifter,0.4840576237,0.0790331931,0.8835813492,0.7227987309,0.0565143457,0.0681163579,0.0890155999,0.0438720561,0.2010424867,0.1218941712
LR,0.4696891805,0.5064042437,liip__drifter,0.618719428,0.3658244975,0.8638392857,0.9113963804,0.1105325214,0.1020724142,0.0957094091,0.1583864553,0.2324699599,0.1072938031
RF,0.794779526,0.7914848011,liip__drifter,0.8121020968,0.7750992063,0.8409722222,0.9664790454,0.1672813463,0.1714097891,0.1519164134,0.171602066,0.1878740652,0.0653716847
CART,0.1382409001,0.1396126415,liip__drifter,0.4840576237,0.0790331931,0.8835813492,0.7227987309,0.0565143457,0.0681163579,0.0890155999,0.0438720561,0.2010424867,0.1218941712
SVM,1.0,1.0,CSCfi__ansible-role-users,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NB,0.9761904762,0.9285714286,CSCfi__ansible-role-users,0.9821428571,0.9642857143,1.0,0.9642857143,0.0858464589,0.2575393768,0.0643848442,0.1287696884,0.0,0.1287696884
LR,1.0,1.0,CSCfi__ansible-role-users,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
RF,1.0,1.0,CSCfi__ansible-role-users,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CART,1.0,1.0,CSCfi__ansible-role-users,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SVM,0.6360022477,0.6173231859,ceph__ceph-ansible,0.6699127541,0.6246168202,0.6732032114,0.8965258835,0.2225579286,0.2309112228,0.1954384514,0.209245325,0.2618846033,0.0816569968
NB,0.1476593177,0.076080455,ceph__ceph-ansible,0.5115296149,0.0816141519,0.9362365644,0.7086951913,0.0481850885,0.0622617964,0.0626453357,0.0304806447,0.1414264026,0.1275907467
LR,0.3825381545,0.3717895,ceph__ceph-ansible,0.5217986432,0.2702323312,0.7530434183,0.8683204354,0.0812982439,0.0840210769,0.0541361622,0.0833864242,0.1354507149,0.0680072649
RF,0.8313852995,0.8276424203,ceph__ceph-ansible,0.8540578186,0.8982712658,0.793995162,0.9718892208,0.1985068612,0.2018779169,0.1760468186,0.1758123695,0.2237993917,0.0647388586
CART,0.8009568658,0.7917779848,ceph__ceph-ansible,0.8228875719,0.8018283511,0.8300364879,0.9066904756,0.1821858528,0.184066341,0.1479717597,0.1941147709,0.1669542087,0.0876746078
