comments_ratio,commit_frequency,core_contributors,fixed_file_count,fixing_commit_count,full_name,has_ci,has_license,iac_ratio,id,issue_frequency,release_count,repository_size
0.2091,12.47,4,17,12,infOpen/ansible-role-jenkins,True,True,0.3626,45633201,0.05,0,4946
0.0365,5.36,2,17,12,lean-delivery/ansible-role-aem-node,True,True,0.9074,169718970,0.09,0,1876
0.1156,8.19,3,17,10,linux-system-roles/storage,True,True,0.6306,150624995,7.04,0,5966
0.0292,7.87,10,17,11,phansible/phansible,True,True,0.1377,16358091,3.44,0,7022
0.089,6.19,3,17,14,tenforwardconsulting/subspace,True,True,0.4876,61397627,0.13,0,3509
0.0107,5.28,6,16,23,dj-wasabi/ansible-zabbix-server,True,True,0.6667,25572529,0.26,0,1765
0.1145,6.58,2,16,25,nusenu/ansible-relayor,True,True,0.75,31433462,0.82,0,1461
0.0833,20.41,2,15,18,vitabaks/postgresql_cluster,True,True,0.8532,190206784,1.11,0,5427
0.0788,2.81,2,15,15,HanXHX/ansible-debian-bootstrap,True,True,0.7778,38866407,0.15,0,713
0.0573,5.47,2,15,26,HanXHX/ansible-nginx,True,True,0.7414,39130147,0.24,0,1745
0.0504,7.95,2,15,22,PyratLabs/ansible-role-k3s,True,True,0.8617,173498378,0.95,0,1998
0.0441,3.61,5,15,8,redhat-cop/openshift-applier,True,True,0.6279,124432181,6.5,0,2124
0.0342,15.15,3,14,16,oVirt/ovirt-ansible-hosted-engine-setup,False,True,0.7529,142121821,1.96,0,3781
0.3839,7.69,13,14,12,openstack/openstack-ansible-rabbitmq_server,False,True,0.6354,47761730,0,0,1656
0.0361,4.3,5,13,15,antoiner77/caddy-ansible,True,True,0.5909,48749148,0.03,0,454
0.0595,3.24,6,13,14,rhevm-qe-automation/ovirt-ansible,True,True,0.7253,61288349,1.17,0,2181
0.1397,3.96,5,13,16,Stouts/Stouts.openvpn,True,True,0.8871,26865033,1.07,0,985
0.0517,4.1,9,12,17,DataDog/ansible-datadog,False,True,0.7544,20684278,1.17,0,1781
0.1277,8.89,3,12,12,cloudalchemy/ansible-grafana,True,True,0.6818,112223013,1.69,0,1680
0.0614,9.4,12,11,17,dev-sec/ansible-ssh-hardening,True,False,0.7619,34468154,0.32,0,1742
0.0356,4.35,4,11,13,Graylog2/graylog-ansible-role,True,True,0.7059,23397594,0.25,0,1111
0.0897,11.08,2,10,28,ansible-ThoTeam/nexus3-oss,True,True,0.4778,112915877,1.92,0,5336
0.1459,6.83,2,10,10,bird-house/ansible-wps-playbook,True,True,0.6579,133828241,3.07,0,1376
0.0119,2.38,2,10,14,florianutz/Ubuntu1604-CIS,True,True,0.7885,115824369,0.06,0,4820
0.0911,34.71,5,10,10,goodrain/rainbond-ansible,True,True,0.7494,159518616,0.39,0,12944
0.1615,41.89,14,10,2,HewlettPackard/oneview-ansible,True,True,0.3717,41844980,0.3,0,41943
0.1326,2.41,2,10,12,wcm-io-devops/ansible-conga-ansible-controlhost,True,True,0.7857,143967403,0.3,0,445
0.0105,4.98,7,9,11,dj-wasabi/ansible-telegraf,True,True,0.6667,42811525,0.61,0,1314
0.1051,81.5,3,9,21,aristanetworks/ansible-avd,True,True,0.7511,207655290,39.07,0,10509
0.1216,22.9,2,9,9,freeipa/ansible-freeipa,True,False,0.6715,100011735,6.72,0,37823
0.1398,23.64,4,9,13,openfun/arnold,False,True,0.8629,133722058,6.6,0,5932
0.0361,12.61,3,9,11,cloudalchemy/ansible-prometheus,True,True,0.6591,112219764,0.94,0,1791
0.0471,2.64,2,9,11,Oefenweb/ansible-wordpress,True,True,0.6429,29490487,0.8,0,849
0.0789,6.36,3,9,9,openwisp/ansible-openwisp2,True,True,0.6222,51141789,3.14,0,1494
0.1241,4.97,3,9,9,oVirt/ovirt-ansible,True,True,0.4167,87416419,0.5,0,466
0.0448,4.55,2,9,12,RocketChat/Rocket.Chat.Ansible,True,True,0.6739,47841554,0.62,0,1237
0.026,7.09,3,8,9,cloudalchemy/ansible-node-exporter,True,True,0.6053,112219931,0.92,0,1309
0.0526,5.68,2,8,15,lae/ansible-role-proxmox,True,True,0.5625,68048671,1.04,0,2541
0.06,10.17,4,8,27,ansible-lockdown/RHEL7-STIG,True,True,0.4167,63640766,1.26,0,8790
0.0611,7.74,4,8,7,oVirt/ovirt-ansible-disaster-recovery,True,True,0.5902,114266564,0.03,0,2798
0.0627,3.23,6,8,17,rvm/rvm1-ansible,True,True,0.3548,19408536,1.95,0,732
0.0218,2.01,5,8,12,threatstack/threatstack-ansible,True,True,0.7391,30940531,0.03,0,449
0.2996,2.46,4,7,6,fgci-org/ansible-role-cuda,True,True,0.8485,45902662,0.05,0,374
0.0152,2.53,4,6,7,elastic/ansible-beats,True,True,0.6098,48370306,0.93,0,1099
0.1243,7.28,5,6,6,CSCfi/ansible-role-slurm,True,True,0.6471,42846136,0.18,0,1374
0.0571,3.92,5,6,7,DavidWittman/ansible-redis,True,True,0.7,18694239,1.39,0,1156
0.0391,2.78,4,6,6,galaxyproject/ansible-galaxy-tools,True,True,0.68,39786045,0.67,0,1620
0.0796,2.3,2,6,7,HanXHX/ansible-mysql,True,True,0.6977,38942982,0.14,0,613
0.0682,3.25,4,6,4,infOpen/ansible-role-docker,True,True,0.6047,46574024,0.05,0,874
0.0314,28.12,2,6,4,jaredledvina/sensu-go-ansible,True,True,0.6792,122892174,0.27,0,2100
0.0109,33.87,4,6,5,netbootxyz/netboot.xyz,True,True,0.8239,41636424,0.76,0,3253
0.0928,3.37,3,6,5,nwoetzel/ansible-role-eclipse,True,True,0.3103,59304980,0.06,0,684
0.0237,3.2,5,6,8,Oefenweb/ansible-postfix,True,True,0.619,23002245,0.54,0,659
0.116,4.14,5,6,11,tulibraries/ansible-role-airflow,True,True,0.6444,178251144,0.6,0,1478
0.0777,6.9,4,5,9,cloudalchemy/ansible-alertmanager,True,True,0.6154,112222674,0.14,61,1305
0.0957,2.7,4,5,10,mrlesmithjr/ansible-netdata,True,True,0.6324,89751137,0.58,0,1361
0.1642,4.66,3,5,9,nkakouros-original/ansible-role-nextcloud,True,True,0.7419,118653944,0.12,0,1150
0.0333,2.12,2,5,4,Oefenweb/ansible-percona-server,True,True,0.7333,41423976,0.06,0,930
0.054,2.97,2,5,11,trombik/ansible-role-opensmtpd,True,True,0.5,111401671,0.03,0,2749
0.0291,4.71,3,5,8,ansible-community/ansible-nomad,True,True,0.6579,62896585,0.47,0,1535
0.0814,6.64,2,4,6,dsaidgovsg/terraform-modules,True,True,0.153,122424272,2.67,0,14489
0.0973,8.06,2,4,7,plone/ansible-playbook,False,False,0.6,24197449,0.77,0,3982
0.4578,3.02,7,4,10,evrardjp/ansible-keepalived,True,True,0.7143,41480840,0.03,0,694
0.0707,2.42,2,4,9,arillso/ansible.logrotate,True,True,0.8,105946365,0.39,0,289
0.0105,4.03,5,4,4,caddy-ansible/caddy-ansible,True,True,0.6154,220226049,0.08,0,473
0.1088,3.55,2,4,6,diodonfrost/ansible-role-mariadb,True,True,0.7727,147718744,0.17,0,967
0.0395,6.66,3,4,3,idealista/redis_role,True,True,0.7273,88843701,0.11,0,1167
0.1792,2.16,2,4,5,naftulikay/ansible-role-degoss,True,True,0.3429,81999200,0.16,0,1150
0.0322,4.63,5,4,5,Oefenweb/ansible-haproxy,True,True,0.7241,35945589,0.36,0,1113
0.0757,2.65,3,4,4,oVirt/ovirt-ansible-image-template,True,True,0.4231,110139999,0.15,0,684
0.0193,6.05,3,3,8,dokku/ansible-dokku,True,True,0.3333,179346232,1.32,0,3095
0.2008,36.39,2,3,6,aristanetworks/ansible-cvp,True,True,0.392,197042746,2.38,0,8361
0.0307,3,4,3,4,idealista/consul_role,True,True,0.8085,115113358,0.83,0,1263
0.0486,18.27,2,3,3,lean-delivery/ansible-role-aem-dispatcher,True,True,0.8864,170286463,0.18,0,685
0.0836,2.72,2,3,8,mimacom/ansible-role-bamboo,True,True,0.75,101293994,0.09,0,252
0.0324,2.59,3,3,4,mtchavez/ansible-influxdb,True,True,0.5667,20755256,0.1,0,657
0.0434,2.31,3,3,3,Oefenweb/ansible-supervisor,True,True,0.75,32947512,0.07,0,485
0.077,4.32,3,3,4,oVirt/ovirt-ansible-vm-infra,True,True,0.5172,110140373,0.06,0,983
0.365,37.25,6,2,8,ansible-community/molecule,True,True,0.232,46383942,2.75,0,8902
0.0905,4.48,3,2,3,cloudalchemy/ansible-blackbox-exporter,True,True,0.6111,112223046,0.11,0,804
