comments_ratio,commit_frequency,core_contributors,fixed_file_count,fixing_commit_count,full_name,has_ci,has_license,iac_ratio,id,issue_frequency,release_count,repository_size
0.0152,2.53,4,6,4,elastic/ansible-beats,True,True,0.6098,48370306,0.93,0,1099
0.026,7.09,3,6,7,cloudalchemy/ansible-node-exporter,True,True,0.6053,112219931,0.92,0,1309
0.1243,7.28,5,6,6,CSCfi/ansible-role-slurm,True,True,0.6471,42846136,0.18,0,1374
0.0571,3.92,5,6,6,DavidWittman/ansible-redis,True,True,0.7,18694239,1.39,0,1156
0.0391,2.78,4,6,6,galaxyproject/ansible-galaxy-tools,True,True,0.68,39786045,0.67,0,1620
0.0314,28.12,2,6,3,jaredledvina/sensu-go-ansible,True,True,0.6792,122892174,0.27,0,2100
0.0365,5.36,2,6,8,lean-delivery/ansible-role-aem-node,True,True,0.9074,169718970,0.09,0,1876
0.0777,6.9,4,5,8,cloudalchemy/ansible-alertmanager,True,True,0.6154,112222674,0.14,61,1305
0.1084,7.61,5,5,31,dev-sec/ansible-os-hardening,True,False,0.7895,35051828,1.54,0,1884
0.0836,2.72,2,5,7,mimacom/ansible-role-bamboo,True,True,0.75,101293994,0.09,0,252
0.06,10.17,4,5,23,ansible-lockdown/RHEL7-STIG,True,True,0.4167,63640766,1.26,0,8790
0.0957,2.7,4,5,9,mrlesmithjr/ansible-netdata,True,True,0.6324,89751137,0.58,0,1361
0.0237,3.2,5,5,7,Oefenweb/ansible-postfix,True,True,0.619,23002245,0.54,0,659
0.0611,7.74,4,5,4,oVirt/ovirt-ansible-disaster-recovery,True,True,0.5902,114266564,0.03,0,2798
0.054,2.97,2,5,11,trombik/ansible-role-opensmtpd,True,True,0.5,111401671,0.03,0,2749
0.0291,4.71,3,5,7,ansible-community/ansible-nomad,True,True,0.6579,62896585,0.47,0,1535
0.0814,6.64,2,4,5,dsaidgovsg/terraform-modules,True,True,0.153,122424272,2.67,0,14489
0.0973,8.06,2,4,7,plone/ansible-playbook,False,False,0.6,24197449,0.77,0,3982
0.4578,3.02,7,4,5,evrardjp/ansible-keepalived,True,True,0.7143,41480840,0.03,0,694
0.0707,2.42,2,4,8,arillso/ansible.logrotate,True,True,0.8,105946365,0.39,0,289
0.0796,2.3,2,4,5,HanXHX/ansible-mysql,True,True,0.6977,38942982,0.14,0,613
0.1792,2.16,2,4,5,naftulikay/ansible-role-degoss,True,True,0.3429,81999200,0.16,0,1150
0.0109,33.87,4,4,3,netbootxyz/netboot.xyz,True,True,0.8239,41636424,0.76,0,3253
0.0322,4.63,5,4,5,Oefenweb/ansible-haproxy,True,True,0.7241,35945589,0.36,0,1113
0.0333,2.12,2,4,3,Oefenweb/ansible-percona-server,True,True,0.7333,41423976,0.06,0,930
0.0757,2.65,3,4,4,oVirt/ovirt-ansible-image-template,True,True,0.4231,110139999,0.15,0,684
0.2996,2.46,4,4,4,fgci-org/ansible-role-cuda,True,True,0.8485,45902662,0.05,0,374
0.0193,6.05,3,3,6,dokku/ansible-dokku,True,True,0.3333,179346232,1.32,0,3095
0.1088,3.55,2,3,5,diodonfrost/ansible-role-mariadb,True,True,0.7727,147718744,0.17,0,967
0.0486,18.27,2,3,2,lean-delivery/ansible-role-aem-dispatcher,True,True,0.8864,170286463,0.18,0,685
0.0324,2.59,3,3,4,mtchavez/ansible-influxdb,True,True,0.5667,20755256,0.1,0,657
0.1642,4.66,3,3,7,nkakouros-original/ansible-role-nextcloud,True,True,0.7419,118653944,0.12,0,1150
0.0928,3.37,3,3,2,nwoetzel/ansible-role-eclipse,True,True,0.3103,59304980,0.06,0,684
0.077,4.32,3,3,4,oVirt/ovirt-ansible-vm-infra,True,True,0.5172,110140373,0.06,0,983
0.116,4.14,5,3,6,tulibraries/ansible-role-airflow,True,True,0.6444,178251144,0.6,0,1478
0.1326,2.41,2,3,5,wcm-io-devops/ansible-conga-ansible-controlhost,True,True,0.7857,143967403,0.3,0,445
0.2008,36.39,2,2,2,aristanetworks/ansible-cvp,True,True,0.392,197042746,2.38,0,8361
0.365,37.25,6,2,7,ansible-community/molecule,True,True,0.232,46383942,2.75,0,8902
0.0905,4.48,3,2,3,cloudalchemy/ansible-blackbox-exporter,True,True,0.6111,112223046,0.11,0,804
0.1476,23.86,5,2,6,fgci-org/fgci-ansible,True,True,0.6354,42441531,1.29,0,1918
0.0748,7,3,2,2,hadret/ansible-role-containers,True,True,0.8571,200037974,0.29,0,334
0.0532,7.82,5,2,3,idealista/java_role,True,True,0.7333,76857031,0.04,0,1032
0.0682,3.25,4,2,3,infOpen/ansible-role-docker,True,True,0.6047,46574024,0.05,0,874
