id,full_name,comments_ratio,commit_frequency,core_contributors,has_ci,has_license,iac_ratio,issue_frequency,release_count,repository_size
228648339,ansible-collections/ibm_zos_core,0.185,38.44,3,False,False,0.0687,5.27,5,22083
205017480,ansible-collections/netapp,0.1627,66.79,1,False,False,0.2459,2.29,4,51589
144737452,ansible-community/ansible-bender,0.2112,19.12,2,False,True,0.157,3.26,16,17759
46383942,ansible-community/molecule,0.3651,37.21,6,False,True,0.232,3.02,156,8894
201639246,ansible-community/molecule-azure,0.1882,2.79,2,False,True,0.2571,0.8,5,578
217837826,ansible-community/molecule-vagrant,0.2248,6.8,3,False,True,0.4348,4.33,4,976
192503917,ansible-community/pytest-molecule,0.1276,6.47,3,False,True,0.4516,0.47,20,581
202563898,ansible-security/ansible_collections.ibm.qradar,0.0797,4.46,2,False,True,0.1633,0,4,2622
202564009,ansible-security/ansible_collections.splunk.enterprise_security,0.4324,2.78,2,False,True,0.25,0,2,21
23267883,ansible-semaphore/semaphore,0.0163,9.07,6,False,True,0.0574,5,17,23439
112915877,ansible-ThoTeam/nexus3-oss,0.0897,11.08,2,True,True,0.4778,1.92,41,5336
141600642,ansible/acme-test-container,0.1882,0.73,1,False,True,0.0714,0.15,13,591
172597158,ansible/ansible-lint-action,0.2233,5.41,3,False,True,0.1667,1.43,2,160
155887931,ansible/ansible-runner-service,0.1973,20.41,3,True,True,0.0408,0.33,3,4512
146703104,ansible/default-test-container,0.0361,1.85,2,False,True,0.0263,0,22,748
145027949,ansible/distro-test-containers,0.0222,2.37,3,False,True,0.0556,0,17,923
24333272,ansible/galaxy,0.1151,39.01,4,True,True,0.017,19.81,42,43545
22257261,ansible/pytest-ansible,0.1504,4.12,2,False,True,0,0.32,9,1689
129778276,ansible/vcenter-test-container,0.2215,0.55,1,False,True,0.125,0,9,239
121804330,ansible/workshops,0.0329,82.24,5,False,True,0.3081,6.06,4,32782
61649857,ansiblebit/grafana,0.2683,4.72,2,True,True,0.5312,0.02,3,668
27648150,ansiblebit/primogen,0.6259,4.21,2,True,True,0.4615,0,40,520
131208636,ansibleplaybookbundle/rhpam-apb,0.303,10.22,3,True,True,0.2,0,6,23
22950800,ansistrano/deploy,0.048,7.46,8,True,True,0.7273,0.08,41,1369
23472451,ansistrano/rollback,0.0659,1.12,3,True,True,0.7333,0.05,12,156
65465246,anthcourtney/ansible-role-cis-amazon-linux,0.086,5.67,4,True,True,0.8933,1.34,10,5731
48749148,antoiner77/caddy-ansible,0.0361,4.3,5,True,True,0.5909,0.03,8,454
101313484,ANTS-Framework/ants,0.1706,8.51,3,False,True,0.069,0.28,20,1065
17770821,ANXS/generic-users,0.0588,0.66,6,True,True,0.4667,0,6,208
17697437,ANXS/ntp,0.0286,0.4,4,True,True,0.5714,0,7,170
17628006,ANXS/postgresql,0.2032,6.51,14,True,True,0.6709,5,29,1345
189933973,apenella/go-ansible,0.1065,6.33,3,False,True,0.15,1.71,4,1267
229772719,arillso/ansible.exoscale,0.0386,3.33,2,True,False,0.8125,0,2,374
131904790,arillso/ansible.fqdn,0.0518,0.7,1,True,True,0.8333,0,3,238
105946365,arillso/ansible.logrotate,0.0707,2.42,2,True,True,0.8,0.41,13,289
201929230,arillso/ansible.restic,0.0237,7.71,3,True,False,0.7778,1.29,7,535
106469429,arillso/ansible.users,0.1216,1.5,1,True,True,0.8235,0,10,354
207655290,aristanetworks/ansible-avd,0.1051,81.14,3,False,True,0.75,38,4,10504
197042746,aristanetworks/ansible-cvp,0.2008,38.41,2,False,True,0.392,1.94,8,8363
43875961,ARTbio/GalaxyKickStart,0.0723,22.14,4,True,True,0.3509,0.08,3,8356
216904863,artis3n/ansible_galaxy_collection,0.0125,7.08,2,False,True,0.069,0.17,17,6388
216852403,artis3n/ansible-collection-github,0.0202,11.8,2,False,True,0.2857,0.08,6,485
202758842,aruba/aoscx-ansible-role,0.1264,3.43,3,False,False,0.0303,0,8,4554
17664561,AtlasOfLivingAustralia/ala-install,0.1113,32.02,13,False,True,0.5084,2.19,2,109560
179678808,automium/service-kubernetes,0.1126,36.37,2,False,True,0.7204,0.26,204,2892
19519415,avanov/ansible-galaxy-pyenv,0.3005,1.11,3,True,True,0.85,0.12,2,270
97092571,avinetworks/ansible-role-aviconfig,0.0142,3.23,4,True,True,0.971,0.05,22,278
